,IDFecha,IDTipoVuelo,IDTipoTrafico,IDEmpresa,IDEquipo,IDAeropuertoOrigen,IDAeropuertoDestino,Vuelos,Pasajeros,CargaBordo,TotalSillas,TotalCarga,ID
34,2,3,0,23,53,335,67,1,3,130.0,3,130,34
35,22,3,0,23,53,335,67,1,3,40.0,3,40,35
36,27,3,0,5,53,335,67,2,20,250.0,20,250,36
37,37,3,0,5,53,335,67,2,4,40.0,4,40,37
38,26,3,0,5,53,335,67,1,3,50.0,3,50,38
39,50,3,0,5,53,335,67,1,3,30.0,3,30,39
40,68,3,0,5,53,335,346,1,3,180.0,3,180,40
41,28,3,0,5,53,335,67,1,2,20.0,2,20,41
42,16,3,0,1,53,335,67,1,1,250.0,1,250,42
43,49,3,0,1,53,335,67,1,3,10.0,3,10,43
44,14,3,0,1,53,335,67,1,3,80.0,3,80,44
45,28,3,0,1,53,335,67,1,1,50.0,1,50,45
46,75,3,0,1,48,595,644,1,3,45.0,3,45,46
47,15,3,0,1,50,102,67,1,1,20.0,1,20,47
48,4,3,0,23,48,102,67,3,2,70.0,2,70,48
49,5,3,0,23,48,102,67,1,0,10.0,0,10,49
50,32,3,0,23,48,102,67,1,1,1.0,1,1,50
51,22,3,0,23,48,102,67,1,2,5.0,2,5,51
52,24,3,0,23,48,102,67,1,3,50.0,3,50,52
53,3,3,0,23,48,102,67,1,0,20.0,0,20,53
54,27,3,0,23,48,102,67,1,3,10.0,3,10,54
55,15,3,0,5,48,102,67,1,3,0.0,3,0,55
56,28,3,0,5,48,102,67,1,1,0.0,1,0,56
57,41,3,0,5,48,102,67,1,2,25.0,2,25,57
58,36,3,0,5,48,102,67,1,1,0.0,1,0,58
59,36,3,0,1,48,102,67,1,1,30.0,1,30,59
60,22,3,0,1,48,102,67,1,0,30.0,0,30,60
61,32,3,0,1,48,102,67,1,1,1.0,1,1,61
62,6,3,0,1,48,102,67,1,2,50.0,2,50,62
63,30,3,0,1,48,102,67,1,2,40.0,2,40,63
64,28,3,0,23,53,102,67,1,1,1.0,1,1,64
65,41,3,0,23,53,102,67,1,0,80.0,0,80,65
66,35,3,0,23,53,102,67,1,1,30.0,1,30,66
67,32,3,0,23,53,102,67,1,1,1.0,1,1,67
68,40,3,0,23,53,102,67,1,3,80.0,3,80,68
69,4,3,0,23,53,102,67,1,1,50.0,1,50,69
70,33,3,0,23,53,102,67,1,1,1.0,1,1,70
71,2,3,0,23,53,102,67,1,3,50.0,3,50,71
72,3,3,0,23,53,102,67,1,4,90.0,4,90,72
73,38,3,0,23,53,102,67,1,4,80.0,4,80,73
74,30,3,0,23,53,102,67,1,2,100.0,2,100,74
75,14,3,0,5,53,102,67,1,2,40.0,2,40,75
76,11,3,0,5,53,102,67,1,2,120.0,2,120,76
77,45,3,0,5,53,102,67,1,0,400.0,0,400,77
78,38,3,0,5,53,102,67,1,3,50.0,3,50,78
79,77,3,0,5,53,679,644,1,0,0.0,0,0,79
80,29,3,0,5,53,102,67,2,3,120.0,3,120,80
81,43,3,0,5,53,102,67,1,0,60.0,0,60,81
82,31,3,0,5,53,102,67,1,3,70.0,3,70,82
83,20,3,0,1,53,102,67,1,1,180.0,1,180,83
84,43,3,0,1,53,102,67,1,1,0.0,1,0,84
85,15,3,0,1,53,102,67,2,7,40.0,7,40,85
86,38,3,0,1,53,102,67,1,0,400.0,0,400,86
87,6,3,0,1,53,102,67,4,7,140.0,7,140,87
88,10,3,0,1,53,102,67,1,2,30.0,2,30,88
89,9,3,0,1,53,102,67,1,2,0.0,2,0,89
90,18,3,0,1,53,102,67,1,1,27.0,1,27,90
91,29,3,0,1,53,102,67,1,4,75.0,4,75,91
92,16,3,0,1,53,102,67,1,4,0.0,4,0,92
93,36,3,0,1,53,102,67,1,0,90.0,0,90,93
94,30,3,0,1,53,102,67,2,4,130.0,4,130,94
95,7,3,0,1,53,102,67,1,0,40.0,0,40,95
96,32,3,0,1,53,102,67,1,1,1.0,1,1,96
97,44,3,0,1,53,183,67,1,0,150.0,0,150,97
98,58,3,0,1,53,249,67,1,1,80.0,1,80,98
99,80,3,0,1,53,847,644,1,1,20.0,1,20,99
100,2,3,0,1,50,62,67,1,1,0.0,1,0,100
101,17,3,0,1,50,62,67,1,1,0.0,1,0,101
102,9,3,0,1,50,62,67,1,1,0.0,1,0,102
103,14,3,0,1,50,62,67,1,0,20.0,0,20,103
104,30,3,0,1,50,62,67,1,1,65.0,1,65,104
105,27,3,0,23,48,62,67,1,2,0.0,2,0,105
106,58,3,0,23,48,62,67,1,2,10.0,2,10,106
107,44,3,0,23,48,62,67,2,4,30.0,4,30,107
108,34,3,0,23,48,62,67,1,2,20.0,2,20,108
109,10,3,0,23,48,62,67,2,2,80.0,2,80,109
110,2,3,0,23,48,62,67,1,1,10.0,1,10,110
111,29,3,0,23,48,62,67,1,1,20.0,1,20,111
112,0,3,0,23,48,62,67,1,1,50.0,1,50,112
113,23,3,0,23,48,62,67,1,1,100.0,1,100,113
114,1,3,0,23,48,62,67,1,3,10.0,3,10,114
115,14,3,0,5,48,62,67,1,1,70.0,1,70,115
116,23,3,0,5,48,62,67,1,1,25.0,1,25,116
117,18,3,0,5,48,62,67,1,0,60.0,0,60,117
118,56,3,0,5,48,62,67,1,2,30.0,2,30,118
119,24,3,0,5,48,62,67,1,2,50.0,2,50,119
120,34,3,0,5,48,62,67,1,2,50.0,2,50,120
121,0,3,0,1,48,62,67,2,2,40.0,2,40,121
122,41,3,0,1,48,62,67,1,2,50.0,2,50,122
123,17,3,0,1,48,62,67,2,3,60.0,3,60,123
124,21,3,0,1,48,62,67,1,1,45.0,1,45,124
125,45,3,0,23,53,62,67,1,0,10.0,0,10,125
126,43,3,0,23,53,62,67,1,4,50.0,4,50,126
127,32,3,0,23,53,62,67,1,0,30.0,0,30,127
128,22,3,0,23,53,62,67,1,3,40.0,3,40,128
129,6,3,0,23,53,62,67,1,3,40.0,3,40,129
130,14,3,0,23,53,62,67,2,7,0.0,7,0,130
131,55,3,0,23,53,62,67,1,0,0.0,0,0,131
132,28,3,0,23,53,62,67,1,3,60.0,3,60,132
133,2,3,0,23,53,62,67,1,3,60.0,3,60,133
134,4,3,0,23,53,62,67,1,1,200.0,1,200,134
135,29,3,0,5,53,62,67,2,3,45.0,3,45,135
136,22,3,0,5,53,62,67,1,2,10.0,2,10,136
137,9,3,0,5,53,62,67,1,0,20.0,0,20,137
138,55,3,0,5,53,62,67,1,4,80.0,4,80,138
139,7,3,0,5,53,62,67,1,0,100.0,0,100,139
140,16,3,0,5,53,62,67,2,3,50.0,3,50,140
141,27,3,0,5,53,62,67,2,20,500.0,20,500,141
142,41,3,0,5,53,62,67,1,1,30.0,1,30,142
143,32,3,0,5,53,62,67,1,2,20.0,2,20,143
144,24,3,0,5,53,62,67,1,2,20.0,2,20,144
145,21,3,0,5,53,62,67,2,4,36.0,4,36,145
146,59,3,0,5,53,62,67,1,2,80.0,2,80,146
147,33,3,0,5,53,62,67,3,7,90.0,7,90,147
148,45,3,0,5,53,62,67,1,3,80.0,3,80,148
149,15,3,0,5,53,62,67,1,2,30.0,2,30,149
150,11,3,0,5,53,62,67,1,2,10.0,2,10,150
151,34,3,0,5,53,62,67,1,3,45.0,3,45,151
152,40,3,0,5,53,62,67,1,2,70.0,2,70,152
153,20,3,0,5,53,62,67,2,5,90.0,5,90,153
154,79,3,0,5,53,639,644,1,0,370.0,0,370,154
155,31,3,0,5,53,62,67,2,4,45.0,4,45,155
156,12,3,0,5,53,62,67,1,3,50.0,3,50,156
157,8,3,0,5,53,62,67,20,20,800.0,20,800,157
158,3,3,0,5,53,62,67,1,1,120.0,1,120,158
159,26,3,0,5,53,62,67,2,2,70.0,2,70,159
160,4,3,0,5,53,62,67,1,1,180.0,1,180,160
161,5,3,0,5,53,62,67,1,1,180.0,1,180,161
162,13,3,0,5,53,62,67,1,2,20.0,2,20,162
163,23,3,0,5,53,62,67,1,2,20.0,2,20,163
164,35,3,0,5,53,62,67,2,4,50.0,4,50,164
165,14,3,0,5,53,62,67,1,4,40.0,4,40,165
166,17,3,0,5,53,62,67,3,6,65.0,6,65,166
167,25,3,0,5,53,62,67,2,4,190.0,4,190,167
168,26,3,0,1,53,62,67,2,4,105.0,4,105,168
169,24,3,0,1,53,62,67,1,1,45.0,1,45,169
170,14,3,0,1,53,62,67,1,3,30.0,3,30,170
171,42,3,0,1,53,62,67,2,6,105.0,6,105,171
172,12,3,0,1,53,62,67,1,0,40.0,0,40,172
173,40,3,0,1,53,62,67,1,2,50.0,2,50,173
174,3,3,0,1,53,62,67,1,2,25.0,2,25,174
175,18,3,0,1,53,62,67,1,3,18.0,3,18,175
176,41,3,0,1,53,62,67,1,3,0.0,3,0,176
177,20,3,0,1,53,62,67,1,3,30.0,3,30,177
178,68,3,0,1,53,341,346,1,0,0.0,0,0,178
179,49,3,0,1,53,62,67,1,1,15.0,1,15,179
180,78,3,0,1,53,639,644,1,2,45.0,2,45,180
181,2,3,0,1,50,211,67,1,3,22.0,3,22,181
182,37,3,0,1,50,211,67,2,3,142.0,3,142,182
183,36,3,0,1,50,211,67,2,4,111.0,4,111,183
184,29,3,0,1,50,211,67,1,2,43.0,2,43,184
185,28,3,0,1,50,211,67,2,2,0.0,2,0,185
186,30,3,0,1,50,211,67,1,2,42.0,2,42,186
187,4,3,0,1,50,211,67,1,2,73.0,2,73,187
188,8,3,0,1,50,211,67,1,2,0.0,2,0,188
189,10,3,0,1,50,211,67,1,3,13.0,3,13,189
190,53,3,0,23,48,211,67,1,2,59.0,2,59,190
191,38,3,0,23,48,211,67,1,2,65.0,2,65,191
192,24,3,0,23,48,211,67,2,2,95.0,2,95,192
193,21,3,0,23,48,211,67,1,2,30.0,2,30,193
194,66,3,0,23,48,509,346,1,2,30.0,2,30,194
195,51,3,0,23,48,211,67,2,2,140.0,2,140,195
196,54,3,0,23,48,211,67,1,2,0.0,2,0,196
197,83,3,0,23,48,807,644,1,0,240.0,0,240,197
198,1,3,0,23,48,211,67,2,1,260.0,1,260,198
199,60,3,0,23,48,509,346,3,4,100.0,4,100,199
200,58,3,0,23,48,211,67,1,1,75.0,1,75,200
201,2,3,0,23,48,211,67,3,7,60.0,7,60,201
202,62,3,0,23,48,509,346,1,3,5.0,3,5,202
203,15,3,0,23,48,211,67,1,2,60.0,2,60,203
204,4,3,0,23,48,211,67,2,5,70.0,5,70,204
205,13,3,0,23,48,211,67,1,2,15.0,2,15,205
206,28,3,0,23,48,211,67,2,5,50.0,5,50,206
207,12,3,0,23,48,211,67,1,3,23.0,3,23,207
208,19,3,0,23,48,211,67,1,2,35.0,2,35,208
209,55,3,0,23,48,211,67,2,2,135.0,2,135,209
210,35,3,0,23,48,211,67,1,2,0.0,2,0,210
211,9,3,0,23,48,211,67,2,4,59.0,4,59,211
212,59,3,0,23,48,211,67,2,3,65.0,3,65,212
213,27,3,0,23,48,211,67,4,6,50.0,6,50,213
214,30,3,0,23,48,211,67,1,0,50.0,0,50,214
215,18,3,0,23,48,211,67,1,2,55.0,2,55,215
216,22,3,0,23,48,211,67,1,1,80.0,1,80,216
217,8,3,0,23,48,211,67,1,2,47.0,2,47,217
218,47,3,0,23,48,211,67,1,3,15.0,3,15,218
219,32,3,0,23,48,211,67,1,2,30.0,2,30,219
220,14,3,0,23,48,211,67,2,4,45.0,4,45,220
221,33,3,0,23,48,211,67,2,0,105.0,0,105,221
222,56,3,0,23,48,211,67,1,2,50.0,2,50,222
223,9,3,0,5,48,211,67,1,1,25.0,1,25,223
224,77,3,0,5,48,807,644,1,3,23.0,3,23,224
225,23,3,0,5,48,211,67,1,2,44.0,2,44,225
226,36,3,0,5,48,211,67,1,2,40.0,2,40,226
227,67,3,0,5,48,509,346,2,4,89.0,4,89,227
228,24,3,0,5,48,211,67,1,2,30.0,2,30,228
229,12,3,0,5,48,211,67,1,2,25.0,2,25,229
230,53,3,0,5,48,211,67,2,4,50.0,4,50,230
231,26,3,0,5,48,211,67,4,5,255.0,5,255,231
232,59,3,0,5,48,211,67,1,1,106.0,1,106,232
233,47,3,0,5,48,211,67,1,2,53.0,2,53,233
234,66,3,0,5,48,509,346,1,2,30.0,2,30,234
235,37,3,0,5,48,211,67,1,1,90.0,1,90,235
236,56,3,0,5,48,211,67,2,3,64.0,3,64,236
237,34,3,0,1,48,211,67,1,2,81.0,2,81,237
238,48,3,0,1,48,211,67,2,3,40.0,3,40,238
239,47,3,0,1,48,211,67,1,1,76.0,1,76,239
240,37,3,0,1,48,211,67,1,1,0.0,1,0,240
241,46,3,0,1,48,211,67,1,2,0.0,2,0,241
242,8,3,0,1,48,211,67,1,2,0.0,2,0,242
243,49,3,0,1,48,211,67,1,2,300.0,2,300,243
244,2,3,0,1,48,211,67,2,2,20.0,2,20,244
245,38,3,0,1,48,211,67,1,1,0.0,1,0,245
246,60,3,0,1,48,509,346,2,4,94.0,4,94,246
247,79,3,0,1,48,807,644,1,2,25.0,2,25,247
248,75,3,0,1,48,807,644,1,3,34.0,3,34,248
249,44,3,0,1,48,211,67,1,2,63.0,2,63,249
250,27,3,0,1,48,211,67,1,2,47.0,2,47,250
251,63,3,0,1,48,509,346,1,2,32.0,2,32,251
252,12,3,0,1,48,211,67,1,2,0.0,2,0,252
253,18,3,0,1,48,211,67,1,2,21.0,2,21,253
254,35,3,0,1,48,211,67,2,3,111.0,3,111,254
255,33,3,0,1,48,211,67,1,2,4.0,2,4,255
256,62,3,0,1,48,509,346,1,2,58.0,2,58,256
257,26,3,0,1,48,211,67,1,3,0.0,3,0,257
258,61,3,0,23,53,509,346,2,7,150.0,7,150,258
259,34,3,0,23,53,211,67,2,8,110.0,8,110,259
260,37,3,0,23,53,211,67,2,8,115.0,8,115,260
261,60,3,0,23,53,509,346,2,8,123.0,8,123,261
262,5,3,0,23,53,211,67,2,2,390.0,2,390,262
263,49,3,0,23,53,211,67,1,1,57.0,1,57,263
264,41,3,0,23,53,211,67,2,8,125.0,8,125,264
265,30,3,0,23,53,211,67,1,2,40.0,2,40,265
266,38,3,0,23,53,211,67,1,3,200.0,3,200,266
267,45,3,0,23,53,211,67,1,3,80.0,3,80,267
268,76,3,0,23,53,807,644,1,2,235.0,2,235,268
269,7,3,0,23,53,211,67,4,13,423.0,13,423,269
270,12,3,0,23,53,211,67,1,4,110.0,4,110,270
271,47,3,0,23,53,211,67,1,4,80.0,4,80,271
272,43,3,0,23,53,211,67,2,4,217.0,4,217,272
273,58,3,0,23,53,211,67,1,0,0.0,0,0,273
274,83,3,0,23,53,807,644,1,0,0.0,0,0,274
275,79,3,0,23,53,807,644,1,4,63.0,4,63,275
276,23,3,0,23,53,211,67,1,4,75.0,4,75,276
277,33,3,0,23,53,211,67,2,7,94.0,7,94,277
278,42,3,0,23,53,211,67,1,0,300.0,0,300,278
279,1,3,0,23,53,211,67,2,8,155.0,8,155,279
280,73,3,0,23,53,807,644,2,5,285.0,5,285,280
281,75,3,0,23,53,807,644,1,4,55.0,4,55,281
282,54,3,0,23,53,211,67,1,2,100.0,2,100,282
283,10,3,0,23,53,211,67,2,4,250.0,4,250,283
284,27,3,0,23,53,211,67,7,17,415.0,17,415,284
285,4,3,0,23,53,211,67,5,17,365.0,17,365,285
286,74,3,0,23,53,807,644,1,3,120.0,3,120,286
287,22,3,0,23,53,211,67,2,7,117.0,7,117,287
288,28,3,0,23,53,211,67,1,3,120.0,3,120,288
289,3,3,0,23,53,211,67,2,7,130.0,7,130,289
290,21,3,0,23,53,211,67,2,3,325.0,3,325,290
291,69,3,0,23,53,509,346,1,4,35.0,4,35,291
292,31,3,0,23,53,211,67,6,21,344.0,21,344,292
293,59,3,0,23,53,211,67,3,11,189.0,11,189,293
294,2,3,0,23,53,211,67,10,39,820.0,39,820,294
295,25,3,0,23,53,211,67,1,2,5.0,2,5,295
296,8,3,0,23,53,211,67,1,3,15.0,3,15,296
297,71,3,0,23,53,509,346,1,4,45.0,4,45,297
298,40,3,0,23,53,211,67,4,12,490.0,12,490,298
299,0,3,0,23,53,211,67,1,4,80.0,4,80,299
300,24,3,0,23,53,211,67,1,3,80.0,3,80,300
301,35,3,0,23,53,211,67,1,0,40.0,0,40,301
302,39,3,0,23,53,211,67,1,1,45.0,1,45,302
303,50,3,0,23,53,211,67,1,3,5.0,3,5,303
304,56,3,0,23,53,211,67,4,8,446.0,8,446,304
305,63,3,0,23,53,509,346,2,9,115.0,9,115,305
306,16,3,0,23,53,211,67,2,8,200.0,8,200,306
307,82,3,0,23,53,807,644,1,3,50.0,3,50,307
308,9,3,0,23,53,211,67,1,3,195.0,3,195,308
309,62,3,0,23,53,509,346,1,4,50.0,4,50,309
310,19,3,0,23,53,211,67,1,5,15.0,5,15,310
311,55,3,0,23,53,211,67,3,9,498.0,9,498,311
312,26,3,0,23,53,211,67,3,7,329.0,7,329,312
313,17,3,0,23,53,211,67,1,1,189.0,1,189,313
314,14,3,0,23,53,211,67,1,1,35.0,1,35,314
315,31,3,0,5,53,211,67,2,7,85.0,7,85,315
316,39,3,0,5,53,211,67,1,4,60.0,4,60,316
317,49,3,0,5,53,211,67,3,9,136.0,9,136,317
318,48,3,0,5,53,211,67,1,0,10.0,0,10,318
319,4,3,0,5,53,211,67,2,4,140.0,4,140,319
320,38,3,0,5,53,211,67,1,4,85.0,4,85,320
321,6,3,0,5,53,211,67,2,4,220.0,4,220,321
322,71,3,0,5,53,509,346,1,3,148.0,3,148,322
323,26,3,0,5,53,211,67,3,9,200.0,9,200,323
324,27,3,0,5,53,211,67,12,120,8670.0,120,8670,324
325,22,3,0,5,53,211,67,1,4,80.0,4,80,325
326,16,3,0,5,53,211,67,2,7,240.0,7,240,326
327,58,3,0,5,53,211,67,1,2,162.0,2,162,327
328,79,3,0,5,53,807,644,1,3,80.0,3,80,328
329,81,3,0,5,53,807,644,1,4,50.0,4,50,329
330,83,3,0,5,53,807,644,1,4,103.0,4,103,330
331,64,3,0,5,53,509,346,1,4,37.0,4,37,331
332,47,3,0,5,53,211,67,2,4,146.0,4,146,332
333,14,3,0,5,53,211,67,2,4,200.0,4,200,333
334,50,3,0,5,53,211,67,3,8,100.0,8,100,334
335,21,3,0,5,53,211,67,2,8,95.0,8,95,335
336,78,3,0,5,53,807,644,1,3,77.0,3,77,336
337,2,3,0,5,53,211,67,1,4,60.0,4,60,337
338,53,3,0,5,53,211,67,1,2,180.0,2,180,338
339,29,3,0,5,53,211,67,2,7,100.0,7,100,339
340,15,3,0,5,53,211,67,2,8,120.0,8,120,340
341,3,3,0,5,53,211,67,2,4,140.0,4,140,341
342,7,3,0,5,53,211,67,1,3,90.0,3,90,342
343,40,3,0,5,53,211,67,3,9,188.0,9,188,343
344,11,3,0,5,53,211,67,1,4,30.0,4,30,344
345,30,3,0,5,53,211,67,2,6,260.0,6,260,345
346,51,3,0,5,53,211,67,2,6,70.0,6,70,346
347,63,3,0,5,53,509,346,2,8,194.0,8,194,347
348,55,3,0,5,53,211,67,4,9,283.0,9,283,348
349,37,3,0,5,53,211,67,1,4,51.0,4,51,349
350,23,3,0,5,53,211,67,2,4,350.0,4,350,350
351,59,3,0,5,53,211,67,2,8,179.0,8,179,351
352,33,3,0,5,53,211,67,3,12,124.0,12,124,352
353,72,3,0,5,53,807,644,1,2,251.0,2,251,353
354,10,3,0,5,53,211,67,5,18,205.0,18,205,354
355,28,3,0,5,53,211,67,5,16,483.0,16,483,355
356,17,3,0,5,53,211,67,3,12,180.0,12,180,356
357,60,3,0,5,53,509,346,5,18,431.0,18,431,357
358,80,3,0,5,53,807,644,3,7,508.0,7,508,358
359,25,3,0,5,53,211,67,2,5,175.0,5,175,359
360,5,3,0,5,53,211,67,2,4,140.0,4,140,360
361,45,3,0,5,53,211,67,1,2,115.0,2,115,361
362,61,3,0,5,53,509,346,2,6,56.0,6,56,362
363,76,3,0,5,53,807,644,1,3,160.0,3,160,363
364,24,3,0,5,53,211,67,2,4,300.0,4,300,364
365,77,3,0,5,53,807,644,2,9,107.0,9,107,365
366,41,3,0,5,53,211,67,1,4,120.0,4,120,366
367,66,3,0,5,53,509,346,3,10,334.0,10,334,367
368,35,3,0,5,53,211,67,2,8,128.0,8,128,368
369,46,3,0,5,53,211,67,3,11,224.0,11,224,369
370,43,3,0,5,53,211,67,3,10,190.0,10,190,370
371,69,3,0,5,53,509,346,3,12,140.0,12,140,371
372,62,3,0,5,53,509,346,6,25,298.0,25,298,372
373,32,3,0,5,53,211,67,2,8,128.0,8,128,373
374,18,3,0,5,53,211,67,1,4,80.0,4,80,374
375,57,3,0,5,53,211,67,2,7,120.0,7,120,375
376,8,3,0,5,53,211,67,10,0,700.0,0,700,376
377,20,3,0,5,53,211,67,2,8,140.0,8,140,377
378,13,3,0,5,53,211,67,3,12,200.0,12,200,378
379,51,3,0,1,53,211,67,1,4,52.0,4,52,379
380,33,3,0,1,53,211,67,1,1,0.0,1,0,380
381,77,3,0,1,53,807,644,3,9,70.0,9,70,381
382,60,3,0,1,53,509,346,1,3,62.0,3,62,382
383,75,3,0,1,53,807,644,2,2,35.0,2,35,383
384,27,3,0,1,53,211,67,4,9,663.0,9,663,384
385,23,3,0,1,53,211,67,1,3,68.0,3,68,385
386,9,3,0,1,53,211,67,2,8,121.0,8,121,386
387,61,3,0,1,53,509,346,5,21,323.0,21,323,387
388,25,3,0,1,53,211,67,1,1,150.0,1,150,388
389,58,3,0,1,53,211,67,1,3,84.0,3,84,389
390,47,3,0,1,53,211,67,2,6,75.0,6,75,390
391,67,3,0,1,53,509,346,1,4,6.0,4,6,391
392,29,3,0,1,53,211,67,1,0,67.0,0,67,392
393,32,3,0,1,53,211,67,1,3,97.0,3,97,393
394,46,3,0,1,53,211,67,1,2,40.0,2,40,394
395,57,3,0,1,53,211,67,1,0,0.0,0,0,395
396,3,3,0,1,53,211,67,2,7,152.0,7,152,396
397,56,3,0,1,53,211,67,1,0,0.0,0,0,397
398,6,3,0,1,53,211,67,2,4,48.0,4,48,398
399,21,3,0,1,53,211,67,1,2,72.0,2,72,399
400,65,3,0,1,53,509,346,2,8,104.0,8,104,400
401,68,3,0,1,53,509,346,2,5,95.0,5,95,401
402,50,3,0,1,53,211,67,2,8,138.0,8,138,402
403,38,3,0,1,53,211,67,1,1,214.0,1,214,403
404,40,3,0,1,53,211,67,2,6,172.0,6,172,404
405,20,3,0,1,53,211,67,1,2,129.0,2,129,405
406,31,3,0,1,53,211,67,1,1,1.0,1,1,406
407,70,3,0,1,53,509,346,1,4,80.0,4,80,407
408,2,3,0,1,53,211,67,3,8,210.0,8,210,408
409,43,3,0,1,53,211,67,2,7,142.0,7,142,409
410,34,3,0,1,53,211,67,1,4,96.0,4,96,410
411,74,3,0,1,53,807,644,1,3,35.0,3,35,411
412,59,3,0,1,53,211,67,6,19,611.0,19,611,412
413,82,3,0,1,53,807,644,1,4,30.0,4,30,413
414,83,3,0,1,53,807,644,1,4,28.0,4,28,414
415,73,3,0,1,53,807,644,1,2,50.0,2,50,415
416,26,3,0,1,53,211,67,1,1,60.0,1,60,416
417,5,3,0,1,53,211,67,2,5,185.0,5,185,417
418,42,3,0,1,53,211,67,1,4,68.0,4,68,418
419,63,3,0,1,53,509,346,1,4,82.0,4,82,419
420,16,3,0,1,53,211,67,1,3,52.0,3,52,420
421,15,3,0,1,53,211,67,3,10,111.0,10,111,421
422,19,3,0,1,53,211,67,1,4,0.0,4,0,422
423,62,3,0,1,53,509,346,2,8,105.0,8,105,423
424,69,3,0,23,53,540,371,5,9,840.0,9,840,424
425,35,3,0,23,53,242,92,1,3,20.0,3,20,425
426,23,3,0,23,53,242,92,4,10,80.0,10,80,426
427,80,3,0,1,50,778,669,1,1,0.0,1,0,427
428,63,3,0,1,50,480,371,1,3,25.0,3,25,428
429,30,3,0,85,55,211,92,1,1,1000.0,1,1000,429
430,26,3,0,85,55,211,92,7,39,2255.0,39,2255,430
431,29,3,0,85,55,211,92,5,10,1480.0,10,1480,431
432,80,3,0,69,56,807,669,1,2,0.0,2,0,432
433,40,3,0,23,48,211,92,1,1,0.0,1,0,433
434,21,3,0,23,48,211,92,1,1,0.0,1,0,434
435,69,3,0,23,48,509,371,1,3,44.0,3,44,435
436,39,3,0,23,48,211,92,1,1,0.0,1,0,436
437,29,3,0,5,48,211,92,1,1,5.0,1,5,437
438,2,3,0,5,48,211,92,1,3,30.0,3,30,438
439,25,3,0,5,48,211,92,1,2,10.0,2,10,439
440,14,3,0,5,48,211,92,3,5,130.0,5,130,440
441,24,3,0,5,48,211,92,1,1,0.0,1,0,441
442,30,3,0,5,48,211,92,1,1,10.0,1,10,442
443,23,3,0,5,48,211,92,1,1,10.0,1,10,443
444,44,3,0,1,48,211,92,1,2,0.0,2,0,444
445,11,3,0,1,48,211,92,1,3,0.0,3,0,445
446,47,3,0,23,53,211,92,1,1,0.0,1,0,446
447,26,3,0,23,53,211,92,5,25,177.0,25,177,447
448,37,3,0,23,53,211,92,1,5,40.0,5,40,448
449,29,3,0,23,53,211,92,2,3,410.0,3,410,449
450,48,3,0,23,53,211,92,1,4,0.0,4,0,450
451,16,3,0,23,53,211,92,1,3,0.0,3,0,451
452,34,3,0,23,53,211,92,1,3,0.0,3,0,452
453,50,3,0,23,53,211,92,1,1,35.0,1,35,453
454,68,3,0,23,53,509,371,1,1,35.0,1,35,454
455,51,3,0,23,53,211,92,2,4,70.0,4,70,455
456,33,3,0,23,53,211,92,6,10,188.0,10,188,456
457,35,3,0,23,53,211,92,1,5,0.0,5,0,457
458,74,3,0,23,53,807,669,2,3,40.0,3,40,458
