,IDAeropuerto,Sigla,IATA,NombreAeropuerto,Categoria,Latitud,Longitud,Municipio,Departamento,Propietario,Explotador,LongitudPista,AnchoPista,PBMO,Elevacion,Resolucion,Clase,Tipo,GCD_Municipio,GCD_Departamento,FechaInicioVigencia,FechaFinVigencia,VersionDelRegistro,Anio
14,576,7GI,no-especificado,GUAYABAL DEL CRAVO,Aeródromo,4.7223,-71.5943,Orocué,Casanare,KLAUS PUTH ARANGUREN,KLAUS PUTH ARANGUREN,58,21,2500,442,"3,710,000",1A,Privado,85230,85,2016-01-01,2300-01-01,S,2016
15,577,7GK,no-especificado,LAS VIOLETAS- CA,Aeródromo,3.8519,-73.7286,Castilla la Nueva,Meta,FRANCELINA CADENA,AEROCLUB DEL META,921,7,500,609,"4,132,000",UL,Privado,50150,50,2016-01-01,2300-01-01,S,2016
16,578,7GL,no-especificado,LA JAGUA,Aeródromo,9.5905,-73.2886,La Jagua de Ibirico,Cesar,CARBONES DE LA JAGUA S.A.,CARBO. DE LA JAGUA S.A.,564,15,7500,787,"171,000",2A,Público,20400,20,2016-01-01,2300-01-01,S,2016
17,579,7GN,no-especificado,LOS MANGOS,Aeródromo,8.2956,-75.0987,Ayapel,Córdoba,MANUEL LOPEZ ORTEGA,MANUEL LOPEZ ORTEGA,82,40,500,90,"5,190,000",UL,Público,23068,23,2016-01-01,2300-01-01,S,2016
18,580,7GO,no-especificado,MATABRAVA,Aeródromo,5.2132,-71.6915,San Luis de Palenque,Casanare,FRANCISCA REYES DIAZ,FRANCISCA REYES DIAZ,31,15,2000,524,"5,966,000",1A,Público,85325,85,2016-01-01,2300-01-01,S,2016
19,581,7GP,no-especificado,EL PORVENIR - CA,Aeródromo,9.491,-74.1909,Pijiño del Carmen,Magdalena,LA CEIBA S.A.,LA CEIBA S.A.,25,36,500,176,"236,000",UL,Público,47545,47,2016-01-01,2300-01-01,S,2016
20,582,7GQ,no-especificado,LA PROVINCIA,Aeródromo,5.6918,-70.11,Paz de Ariporo,Casanare,CARLOS H. MONTENEGRO,CARLOS H. MONTENEGRO,37,7,2500,430,"399,000",1A,Público,85250,85,2016-01-01,2300-01-01,S,2016
21,583,7GS,no-especificado,EL ENCANTO,Aeródromo,4.6934,-70.9078,Cumaribo,Vichada,JUAN AQUILINO PEREZ P.,EL ENCANTO 1 S.A.S.,253,1,5000,544,"5,964,000",1A,Público,99773,99,2016-01-01,2300-01-01,S,2016
22,584,7GU,no-especificado,HATO GARIBAY,Aeródromo,4.4656,-72.3273,Maní,Casanare,AGROPECUARIA LA TAGUA,ROBERTO HERRERA OBREGON,331,35,5500,482,"4,212,000",1A,Privado,85139,85,2016-01-01,2300-01-01,S,2016
23,585,7GV,no-especificado,REPRESA DE LAS CANARIAS,Aeródromo,5.7658,-71.2503,Paz de Ariporo,Casanare,OLGA BRAVO DE CANTOR,OLGA BRAVO DE CANTOR,0,2,3500,652,"5,236,000",1A,Público,85250,85,2016-01-01,2300-01-01,S,2016
24,586,7GX,no-especificado,LA ATARRAYA - CA.,Aeródromo,8.2857,-75.0963,Ayapel,Córdoba,FELIPE BRAVO BOTERO,FELIPE BRAVO BOTERO,5,49,500,91,"5,714,000",UL,Público,23068,23,2016-01-01,2300-01-01,S,2016
25,587,7GY,no-especificado,LAS ACACIAS,Aeródromo,5.0949,-73.9054,Nemocón,Cundinamarca,JUAN BERNANDO SANINT G,EL MISMO,1289,14,10000,8431,"439,000",3A,Público,25486,25,2016-01-01,2300-01-01,S,2016
26,588,7GZ,no-especificado,COROZITO,Aeródromo,4.6701,-72.0994,Maní,Casanare,INVERSIONES LA PALMERA DE COROZITO,INV.LA PALMERA DE COROZITO,37,9,no-especificado,497,"832,000",2A,Público,85139,85,2016-01-01,2300-01-01,S,2016
27,589,7HA,no-especificado,EL CONDOR,Aeródromo,4.2595,-74.8308,Flandes,Tolima,AEROTURBO DE COLOMBIA,LUIS FDO. BARRETO CAVIEDES,8,0,500,992,"5,730,000",UL,Fumigación,73275,73,2016-01-01,2300-01-01,S,2016
28,590,7HB,no-especificado,HOTEL SAN DIEGO,Aeródromo,3.7693,-71.8179,Puerto Gaitán,Meta,MADYGAN S.A.S.,MADYGAN S.A.S.,4,4,4000,725,"6,730,000",2A,Privado,50568,50,2016-01-01,2300-01-01,S,2016
29,591,7HC,no-especificado,EL CAFUCHE,Aeródromo,5.3152,-70.0184,La Primavera,Vichada,ANDRES CARVAJAL MOLINA,ANDRES CARVAJAL MOLINA,2098,8,4000,384,"3,826,000",1A,Fumigación,99524,99,2016-01-01,2300-01-01,S,2016
30,592,7HD,no-especificado,BOSQUES DE LA PRIMAVERA,Aeródromo,5.3489,-69.7467,La Primavera,Vichada,MARIA A. RIVERA AGUDELO,MARIA A. RIVERA AGUDELO,1426,44,3000,396,"1,444,000",1A,Fumigación,99524,99,2016-01-01,2300-01-01,S,2016
31,593,7HE,no-especificado,GUACHARACAS (COLOMBAIMA),Aeródromo,4.7371,-74.8021,Beltrán,Cundinamarca,EMPRESA GUACHARACAS,CCA. LTDA,3,0,3000,797,"5,920,000",1A,Aerocivil,25086,25,2016-01-01,2300-01-01,S,2016
32,594,7HF,no-especificado,GAVILAN DE LA PASCUA,Aeródromo,5.1166,-70.3806,La Primavera,Vichada,RESGUARDO INDIGENA ORIPGA,RES. INDIGENA ORIPGA,10,44,3500,419,"7,257,000",1A,Aerocivil,99524,99,2016-01-01,2300-01-01,S,2016
33,595,7HG,no-especificado,DOROTEA B1,Aeródromo,5.5122,-71.0248,Paz de Ariporo,Casanare,NEW GRANADA ENERGY,NEW GRANADA ENERGY,1,1,no-especificado,404,"2,362,000",2A,Público,85250,85,2016-01-01,2300-01-01,S,2016
34,596,7HH,no-especificado,HORIZONTES,Aeródromo,7.0017,-73.1037,Piedecuesta,Santander,DESARROLLOS METROPOLITANOS,DESARROLLOS METROPOLITANOS,1439,0,3500,4195,"5,186,000",1A,Público,68547,68,2016-01-01,2300-01-01,S,2016
35,597,7HJ,no-especificado,MACOLLA,Aeródromo,4.7713,-72.0714,Maní,Casanare,GRAMERCY S.A.S.,AGROPECUARIA CACOLLA S.A.S.,211,0,5000,548,"2,134,000",1A,Fumigación,85139,85,2016-01-01,2300-01-01,S,2016
36,598,7HK,no-especificado,MULETOS- CA,Aeródromo,4.5549,-72.1753,Maní,Casanare,MULETOS S.A.S.,MULETOS S.A.S.,1038,0,500,790,"2,142,000",UL,Aerocivil,85139,85,2016-01-01,2300-01-01,S,2016
37,599,7HL,no-especificado,LA MAPORA,Aeródromo,5.6459,-71.9887,Pore,Casanare,PAULA ANDREA CANO A.,PAULA ANDREA CANO,71,19,500,497,"2,199,000",1A,Aerocivil,85263,85,2016-01-01,2300-01-01,S,2016
38,600,7HM,no-especificado,LLANO CAUCHO,Aeródromo,4.4355,-70.6954,Cumaribo,Vichada,AGROINDUSTRIALES DEL ORIENTE,AGROINVERSIONES DEL ORIENTE S.A.S,96,1,12000,434,"5,189,000",1A,Privado,99773,99,2016-01-01,2300-01-01,S,2016
39,601,7HN,no-especificado,ARMENIA,Aeródromo,5.787,-70.1835,Paz de Ariporo,Casanare,LUIS JOSE CALA LOPEZ,LUIS JOSE CALA LOPEZ,125,0,3000,380,"4,734,000",1A,Privado,85250,85,2016-01-01,2300-01-01,S,2016
40,602,7HO,no-especificado,EDGAR CALDAS POTES-CA,Aeródromo,3.9159,-76.4813,Calima,Valle del Cauca,ALEJANDRO A. CALDAS V.,ALEJANDRO A. CALDAS V.,1645,20,400,1462,"1,311,000",1A,Privado,76126,76,2016-01-01,2300-01-01,S,2016
41,603,7HQ,no-especificado,GENERAL ADELMO RUIZ M.,Aeródromo,4.35,-74.7511,Ricaurte,Cundinamarca,EDUARDO A. VIVEROS,ACAF,69,71,500,987,"46,000",1A,Aerocivil,25612,25,2016-01-01,2300-01-01,S,2016
42,604,7HR,no-especificado,RANCHO COLIBRI - CA,Aeródromo,4.4586,-76.1258,Roldanillo,Valle del Cauca,HENRY D. F. ORTIZ SILVA,HENRY D. F. ORTIZ SILVA,7,0,500,3083,"7,091,000",1A,Fumigación,76622,76,2016-01-01,2300-01-01,S,2016
43,605,7HS,no-especificado,CASTILLO - CA,Aeródromo,10.4089,-74.9963,Manatí,Atlántico,DIANA MARIA SOLANO D.,DIANA MARIA SOLANO D.,5,41,500,20,"706,000",1A,Fumigación,8436,8,2016-01-01,2300-01-01,S,2016
44,606,7HT,no-especificado,MANARE,Aeródromo,5.9761,-70.1575,Paz de Ariporo,Casanare,HERNAN GOMEZ NIÑO,HERNAN GOMEZ NIÑO,61,69,4000,334,"1,577,000",1A,Público,85250,85,2016-01-01,2300-01-01,S,2016
45,607,7HU,no-especificado,GUANAGUANARE,Aeródromo,5.4739,-69.9014,La Primavera,Vichada,INVERSIONES GUANAGUANARE,INV. GUANAGUANARE,325,17,5000,400,"2,132,000",1A,Público,99524,99,2016-01-01,2300-01-01,S,2016
46,608,7HV,no-especificado,LA BENDICION,Aeródromo,6.0627,-69.1783,La Primavera,Vichada,SERGIO ANDRES ESPINOSA F.,SERGIO A. ESPINOSA FLOREZ,5059,46,5000,360,"2,498,000",1A,Privado,99524,99,2016-01-01,2300-01-01,S,2016
47,609,7HW,no-especificado,CABARALEZ,Aeródromo,7.3283,-73.7965,Puerto Wilches,Santander,RICARDO FIGUEREDO M.,RICARDO FOGUEREDO M.,1002,0,3500,324,"3,060,000",1A,Aerocivil,68575,68,2016-01-01,2300-01-01,S,2016
48,610,7HX,no-especificado,PIVIJAY,Aeródromo,5.1288,-69.9716,La Primavera,Vichada,FERNANDO CUSTAS PATACON,FERNANDO CUSTAS P.,8,0,3500,426,"3,063,000",1A,Privado,99524,99,2016-01-01,2300-01-01,S,2016
49,611,7HY,no-especificado,HOTEL DEL CAMPO - CA,Aeródromo,4.6123,-75.8132,Quimbaya,Quindío,JUAN B. URIBE S.,LUIS BERRENECHE RIVERA,60,5,500,3828,"2,492,000",1A,Fumigación,63594,63,2016-01-01,2300-01-01,S,2016
50,612,7HZ,no-especificado,MAXIMENA,Aeródromo,4.4723,-72.1094,Maní,Casanare,PALMERAS MAXIMENA S.A.S,PALMERAS MAXIMENA,2753,1,5000,426,"4,213,000",1A,Fumigación,85139,85,2016-01-01,2300-01-01,S,2016
51,613,7IA,no-especificado,MURIBA,Aeródromo,4.5809,-72.2551,Maní,Casanare,VITIS OLEI S.A.S.,VITIS OLEI S.A.S.,65,102,5000,432,"4,214,000",1A,Privado,85139,85,2016-01-01,2300-01-01,S,2016
52,614,7IB,no-especificado,MAJAGUILLO,Aeródromo,4.832,-71.6902,Orocué,Casanare,FELIPE GOMEZ H. y CIA.,FELIPE GOMEZ H. y CIA.,31,0,4800,499,"5,386,000",1A,Público,85230,85,2016-01-01,2300-01-01,S,2016
53,615,7IC,no-especificado,VOLAR COLOMBIA,Aeródromo,5.7735,-75.603,La Pintada,Antioquia,CRISTIAN CAMILO MONCADA A.,CRISTIAN C. MONCADA A.,12,0,500,2559,"11,000",1A,Público,5390,5,2016-01-01,2300-01-01,S,2016
54,616,7ID,no-especificado,LA MACOYA,Aeródromo,5.2262,-72.1478,Yopal,Casanare,ELSON HERNANDO SIERRA,ELSON H. SIERRA QUICENO,1137,11,3000,474,"9,000",1A,Público,85001,85,2016-01-01,2300-01-01,S,2016
55,617,7IE,no-especificado,LIMA,Aeródromo,10.3794,-74.1114,Fundación,Magdalena,JORGE SOLANO RECIO,JORGE SOLANO RECIO,13,49,3500,395,"10,000",1A,Público,47288,47,2016-01-01,2300-01-01,S,2016
56,618,7IF,no-especificado,LOS VENADOS,Aeródromo,5.0666,-69.9988,La Primavera,Vichada,GUILLERMO FRANCO RESTREPO,GUILLERMO FRANCO R.,61,2,6500,475,"515,000",2A,Privado,99524,99,2016-01-01,2300-01-01,S,2016
57,619,7IG,no-especificado,LA FORTUNA 1,Aeródromo,3.611,-72.3412,San Martín,Meta,LUIS C. CASTRO M.,RAFAEL FDO. GAVIRIA A.,1659,35,4000,482,"640,000",1A,Fumigación,50689,50,2016-01-01,2300-01-01,S,2016
58,620,7IH,no-especificado,LOS KIOSCOS,Aeródromo,3.4747,-72.2349,Puerto Gaitán,Meta,MARTHA I. PABON PADILLA,MARTHA I. PABON PADILLA,2028,25,5000,770,"690,000",1A,Público,50568,50,2016-01-01,2300-01-01,S,2016
59,621,7II,ECO,EL ENCANTO,Aeródromo,-1.7525,-73.2058,El Encanto,Amazonas,GOBERNACION,GOBERNACION,49,61,5000,406,"830,000",1A,Público,91263,91,2016-01-01,2300-01-01,S,2016
60,622,7IJ,no-especificado,LA LORENA,Aeródromo,5.6092,-70.421,Paz de Ariporo,Casanare,BUSHIRO TAKEMOTO,BUSHIRO TAKEMOTO,1899,0,3000,347,"1,443,000",1A,Aerocivil,85250,85,2016-01-01,2300-01-01,S,2016
61,623,7NP,no-especificado,EL CAIRANO,Aeródromo,10.7124,-75.2649,Santa Catalina,Bolívar,CARLOS E. GUERRERO,ENRIQUE MORALES NUÑEZ,0,44,400,30,"998,000",UL,Privado,13673,13,2016-01-01,2300-01-01,S,2016
62,624,7NQ,no-especificado,EL PARAISO,Aeródromo,5.1826,-69.6303,La Primavera,Vichada,RUBEN D. VELASQUEZ,RUBEN D. VELASQUEZ,6,58,3000,387,"5,533,000",1A,Fumigación,99524,99,2016-01-01,2300-01-01,S,2016
63,625,7NR,no-especificado,NUEVA ROMA,Aeródromo,9.968,-74.3303,Plato,Magdalena,JORGE SOLANO RECIO,JORGE SOLANO RECIO,711,20,3000,462,"4,503,000",1A,Privado,47555,47,2016-01-01,2300-01-01,S,2016
64,626,7NS,no-especificado,JAGUAR,Aeródromo,4.2161,-72.0275,Puerto Gaitán,Meta,CEPCOLSA,CEPCOLSA,829,97,no-especificado,650,"4,940,000",2B,Privado,50568,50,2016-01-01,2300-01-01,S,2016
65,627,7NT,no-especificado,OCELOTE,Aeródromo,4.2751,-71.6123,Puerto Gaitán,Meta,HOCOL S.A.,HOCOL S.A.,3204,56,no-especificado,690,"5,922,000",2B,Privado,50568,50,2016-01-01,2300-01-01,S,2016
66,628,9AA,no-especificado,BONAIRE  - CA,Aeródromo,8.2851,-75.0505,Ayapel,Córdoba,INDUSTRIAS DIPSA S.A.S.,INDUSTRIAS DIPSA S.A.S.,538,24,500,100,"8,000",UL,Privado,23068,23,2016-01-01,2300-01-01,S,2016
67,629,9AB,no-especificado,GETSEMANI,Aeródromo,6.1506,-70.0294,Hato Corozal,Casanare,MUNICIPIO,MUNICIPIO,63,1,2000,304,"2,220,000",1A,Fumigación,85125,85,2016-01-01,2300-01-01,S,2016
68,630,9AC,no-especificado,MARIA ALEJANDRA,Aeródromo,5.0054,-72.3959,Nunchía,Casanare,CIRO GUILLERMO VEGA N.,SAMBA LTDA.,2175,5,2000,734,"2,493,000",1A,Aerocivil,85225,85,2016-01-01,2300-01-01,S,2016
69,631,9AD,no-especificado,URACA - CA.,Aeródromo,11.0062,-74.9224,Puerto Colombia,Atlántico,NORA CARVAJALINO,ALAS DEL CARIBE,542,19,800,204,"5,624,000",UL,Fumigación,8573,8,2016-01-01,2300-01-01,S,2016
70,632,9AH,no-especificado,SAN ROQUE  - CA.,Aeródromo,4.0039,-76.2209,San Pedro,Valle del Cauca,IRMA HERNANDEZ DE M.,JAKOB OLIVIER,862,1,400,3366,"5,622,000",UL,Aerocivil,76670,76,2016-01-01,2300-01-01,S,2016
71,633,9AI,no-especificado,CAÑO GARZA,Aeródromo,5.5917,-71.5894,Paz de Ariporo,Casanare,PERENCO COLOMBIA LIMITED,PERENCO COLOMBIA LIMITED,0,32,12202,530,"933,000",1A,Público,85250,85,2016-01-01,2300-01-01,S,2016
72,634,9AJ,no-especificado,SAN LUIS DE PACA,Aeródromo,0.8744,-70.3464,Mitú,Vaupés,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,1855,23,1650,590,"3,423,000",1A,Privado,97001,97,2016-01-01,2300-01-01,S,2016
73,635,9AK,no-especificado,CANANARI,Aeródromo,0.545,-70.9286,Mitú,Vaupés,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,798,5,1650,780,"3,423,000",1A,Aerocivil,97001,97,2016-01-01,2300-01-01,S,2016
74,636,9AN,no-especificado,MARAREY,Aeródromo,4.8281,-71.0808,Orocué,Casanare,JULIAN VALENCIA I. Y OTROS,JULIAN VALENCIA I. Y OTROS,0,0,4800,498,"2,001,000",1A,Público,85230,85,2016-01-01,2300-01-01,S,2016
75,637,9AO,no-especificado,SANTA CLARA,Aeródromo,4.4172,-72.7744,Sabanalarga,Casanare,ARMANDO SANCHEZ M.,TAES LTDA.,345,7,2500,610,"2,137,000",1A,Fumigación,85300,85,2016-01-01,2300-01-01,S,2016
76,638,9AR,no-especificado,SAN PABLO,Aeródromo,-0.7831,-70.3228,Mitú,Vaupés,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,248,2,1650,550,"3,423,000",1A,Aerocivil,97001,97,2016-01-01,2300-01-01,S,2016
77,639,9AS,no-especificado,SIRENAS,Aeródromo,5.2541,-71.1576,Trinidad,Casanare,PERENCO COLOMBIA LIMITED,PERENCO COLOMBIA LIMITED,166,6,5000,443,"3,058,000",1A,Aerocivil,85430,85,2016-01-01,2300-01-01,S,2016
78,640,9AT,no-especificado,COROCITO,Aeródromo,3.9507,-72.2186,Puerto López,Meta,AGROINVERSIONES COROCITO,AGROINVERSIONES COROCITO,1434,2,3000,544,"1,838,000",1A,Privado,50573,50,2016-01-01,2300-01-01,S,2016
79,641,9AU,no-especificado,LAS FURIAS,Aeródromo,5.4039,-72.1228,Nunchía,Casanare,MAURICIO CALA PEREZ,SFA LTDA.,167,2,2000,688,"5,611,000",1A,Fumigación,85225,85,2016-01-01,2300-01-01,S,2016
80,642,9AV,no-especificado,EL NOGAL,Aeródromo,3.9883,-73.2994,Villavicencio,Meta,GLORIA L.TIUSO,AEROTEC LTDA.,2309,2,2000,817,"4,739,000",1A,Aerocivil,50001,50,2016-01-01,2300-01-01,S,2016
81,643,9AX,no-especificado,SANTA CRUZ,Aeródromo,4.1318,-73.1814,Puerto López,Meta,JULIO STRAUCH D.,COMERCIALIZADORA ECO,58,4,2000,659,"2,685,000",1A,Aerocivil,50573,50,2016-01-01,2300-01-01,S,2016
82,644,9AZ,no-especificado,REMACHE SUR,Aeródromo,5.0832,-71.1525,San Luis de Palenque,Casanare,DESIDERIO CHAPARRO,PERENCO COLOMBIA LIMITED,72,72,5000,459,"3,058,000",1A,Fumigación,85325,85,2016-01-01,2300-01-01,S,2016
83,645,9BA,no-especificado,CURUMANI,Aeródromo,9.2222,-73.5722,Curumaní,Cesar,MUNICIPIO,FADELCE,34,0,2000,164,"2,989,000",2A,Público,20228,20,2016-01-01,2300-01-01,S,2016
84,646,9BB,no-especificado,SAN MIGUEL,Aeródromo,4.1069,-72.89,Puerto López,Meta,ELIZABETH CRUZ BULLA,SAAC S.A.S,0,36,2000,803,"251,000",1A,Privado,50573,50,2016-01-01,2300-01-01,S,2016
85,647,9BC,no-especificado,CANTADELICIAS,Aeródromo,3.3873,-74.9338,Alpujarra,Tolima,MUNICIPIO,MUNICIPIO,265,2,12200,4213,"4,541,000",1A,Público,73024,73,2016-01-01,2300-01-01,S,2016
86,648,9BE,no-especificado,LAS VEGAS,Aeródromo,6.0072,-71.2842,Paz de Ariporo,Casanare,ALEIDA JERONIMO NAVAS,ALEIDA JERONIMO NAVAS,82,0,3500,430,"1,657,000",1A,Privado,85250,85,2016-01-01,2300-01-01,S,2016
87,649,9BF,no-especificado,LA FRANCIA,Aeródromo,9.6394,-73.5282,El Paso,Cesar,SOCIEDAD COLOMBIAN NATURAL RESOURCES,EL MISMO,2671,2,no-especificado,213,"962,000",1B,Público,20250,20,2016-01-01,2300-01-01,S,2016
88,650,9BG,no-especificado,AGUAS BLANCAS,Aeródromo,7.8197,-73.5719,San Alberto,Cesar,PALMAS BELLAVISTA S.A.,CELTA LTDA.,3088,2,3000,174,"4,942,000",1A,Público,20710,20,2016-01-01,2300-01-01,S,2016
89,651,9BI,no-especificado,SAN FELIPE,Aeródromo,5.1037,-71.8425,Orocué,Casanare,MARIA LUCILA REYES ORDOÑEZ,MARIA LUCILA REYES O.,149,3,2000,554,"800,000",1A,Privado,85230,85,2016-01-01,2300-01-01,S,2016
90,652,9BK,no-especificado,JULIAN,Aeródromo,4.2711,-72.9869,Cabuyaro,Meta,HERNANDO JIMENEZ,ASAM LTDA,41,42,2500,735,"3,181,000",1A,Público,50124,50,2016-01-01,2300-01-01,S,2016
91,653,9BL,no-especificado,LOS HALCONES,Aeródromo,3.9178,-76.3206,Bugalagrande,Valle del Cauca,DIEGO TORRES NUÑEZ,DIEGO TORRES NUÑEZ,1146,39,500,3232,"6,678,000",1A,Fumigación,76113,76,2016-01-01,2300-01-01,S,2016
92,654,9BN,no-especificado,EL SOÑADOR,Aeródromo,5.2299,-72.4528,Aguazul,Casanare,GLORIA M. ALVIRA R.,CELTA LTDA.,33,1,2000,865,"304,000",1A,Público,85010,85,2016-01-01,2300-01-01,S,2016
93,655,9BO,no-especificado,VENECIA DE GUANAPALO,Aeródromo,5.3079,-71.9204,San Luis de Palenque,Casanare,COLCONSTRUC LTDA,COLCONSTRUC LTDA.,1858,40,5500,623,"4,873,000",1A,Privado,85325,85,2016-01-01,2300-01-01,S,2016
94,656,9BP,no-especificado,EL CONCHAL - CA,Aeródromo,3.7273,-76.3902,El Cerrito,Valle del Cauca,ARMANDO ARAGON NAVIA,ARMANDO ARAGON NAVIA,548,8,400,3139,"326,000",1A,Público,76248,76,2016-01-01,2300-01-01,S,2016
95,657,9BR,no-especificado,SEVILLA,Aeródromo,5.9234,-71.7139,Hato Corozal,Casanare,HELI CALA LOPEZ,HELI CALA LOPEZ,1596,47,3000,682,"4,729,000",1A,Privado,85125,85,2016-01-01,2300-01-01,S,2016
96,658,9BT,no-especificado,ASA SAN MARTIN,Aeródromo,11.2889,-73.1756,Riohacha,La Guajira,ASA S EN C,ASA S. EN C.,20,59,4500,49,"5,612,000",1A,Privado,44001,44,2016-01-01,2300-01-01,S,2016
97,659,9BW,no-especificado,LA FAZENDA,Aeródromo,4.3263,-72.2208,Puerto López,Meta,ALIAR S.A.,ALIAR S.A.,3,57,5000,568,"1,941,000",2B,Fumigación,50573,50,2016-01-01,2300-01-01,S,2016
98,660,9BX,no-especificado,LA ESTRELLA-CA.,Aeródromo,3.4802,-73.3276,San Martín,Meta,CLUB LA LIBELULA,CLUB LA LIBELULA,836,36,500,787,"679,000",UL,Privado,50689,50,2016-01-01,2300-01-01,S,2016
99,661,9BY,no-especificado,SAN EDUARDO,Aeródromo,4.6422,-71.8104,Orocué,Casanare,EDUARDO J. GONZALEZ A.,EDUARDO J- GONZALEZ,2869,1,2500,580,"1,580,000",1A,Público,85230,85,2016-01-01,2300-01-01,S,2016
100,662,9BZ,no-especificado,RIOSUCIO,Aeródromo,7.4164,-77.0595,Riosucio,Chocó,MUNICIPIO,MUNICIPIO,14,30,5670,72,"3,430,000",1A,Aerocivil,27615,27,2016-01-01,2300-01-01,S,2016
101,663,9CA,no-especificado,LAS AGUILAS -CA,Aeródromo,3.5134,-76.4931,Yumbo,Valle del Cauca,SERESTEL S.A.,CLUB DEPORT.LAS AGUILAS,10,4,500,3100,"4,939,000",1A,Aerocivil,76892,76,2016-01-01,2300-01-01,S,2016
102,664,9CB,no-especificado,CAMARUCOS,Aeródromo,5.8754,-70.6583,Paz de Ariporo,Casanare,ALCALDIA,ALCALDIA,101,1,2000,367,"4,541,000",1A,Público,85250,85,2016-01-01,2300-01-01,S,2016
103,665,9CC,no-especificado,EL TOTUMO,Aeródromo,5.9387,-71.2217,Paz de Ariporo,Casanare,MUNICIPIO,MUNICIPIO,2,0,2000,476,"4,541,000",1A,Público,85250,85,2016-01-01,2300-01-01,S,2016
